🤖,face,monster,robot,,,,,,
😺,cat,face,mouth,grinning,open,smile,,,
😸,cat,eye,grin,face,grinning cat with smiling eyes,smile,,,
😹,cat,cat with tears of joy,joy,face,tear,,,,
😻,cat,eye,heart,face,love,smile,smiling cat with heart-eyes,,
😼,cat,cat with wry smile,ironic,face,smile,wry,,,
😽,cat,eye,kiss,face,kissing cat,,,,
🙀,cat,face,surprised,oh,weary,,,,
😿,cat,cry,face,crying cat,sad,tear,,,
😾,cat,face,pouting,,,,,,
🙈,evil,face,monkey,forbidden,see,see-no-evil monkey,,,
🙉,evil,face,hear,forbidden,hear-no-evil monkey,monkey,,,
🙊,evil,face,monkey,forbidden,speak,speak-no-evil monkey,,,
💋,kiss,kiss mark,lips,,,,,,
💌,heart,letter,mail,love,,,,,
💘,arrow,cupid,heart with arrow,,,,,,
💝,heart with ribbon,ribbon,valentine,,,,,,
💖,excited,sparkle,sparkling heart,,,,,,
💗,excited,growing,nervous,growing heart,pulse,,,,
💓,beating,beating heart,pulsating,heartbeat,,,,,
💞,revolving,revolving hearts,,,,,,,
💕,love,two hearts,,,,,,,
💟,heart,heart decoration,,,,,,,
💔,break,broken,broken heart,,,,,,
❤‍🔥,burn,heart,love,heart on fire,lust,sacred heart,,,
❤‍🩹,healthier,improving,mending heart,mending,recovering,recuperating,well,,
🧡,orange,orange heart,,,,,,,
💛,yellow,yellow heart,,,,,,,
💚,green,green heart,,,,,,,
💙,blue,blue heart,,,,,,,
💜,purple,purple heart,,,,,,,
🤎,brown,heart,,,,,,,
🖤,black,black heart,wicked,evil,,,,,
🤍,heart,white,,,,,,,
💯,100,full,hundred points,hundred,score,,,,
💢,anger symbol,angry,mad,comic,,,,,
💥,boom,collision,comic,,,,,,
💫,comic,dizzy,star,,,,,,
💦,comic,splashing,sweat droplets,sweat,,,,,
💨,comic,dash,running,dashing away,,,,,
🕳,hole,,,,,,,,
💣,bomb,comic,,,,,,,
💬,balloon,bubble,dialog,comic,speech,,,,
🗯,angry,balloon,mad,bubble,right anger bubble,danger,,,
💭,balloon,bubble,thought,comic,,,,,
💤,comic,sleep,zzz,,,,,,
👋,hand,wave,waving,,,,,,
🤚,backhand,raised,raised back of hand,,,,,,
🖐,finger,hand,splayed,hand with fingers splayed,,,,,
✋,hand,high 5,raised hand,high five,,,,,
🖖,finger,hand,vulcan,spock,vulcan salute,,,,
👌,hand,OK,,,,,,,
🤌,fingers,hand gesture,pinched,interrogation,sarcastic,,,,
🤏,pinching hand,small amount,little,,,,,,
✌,hand,v,victory,,,,,,
🤞,cross,crossed fingers,hand,finger,luck,,,,
🤟,hand,ILY,love-you gesture,,,,,,
🤘,finger,hand,rock-on,horns,sign of the horns,metal,,,
🤙,call,call me hand,hand,shaka sign,right on,thanks,,,
👈,backhand,backhand index pointing left,hand,finger,index,point,,,
👉,backhand,backhand index pointing right,hand,finger,index,point,,,
👆,backhand,backhand index pointing up,hand,finger,point,up,,,
🖕,finger,hand,middle finger,,,,,,
👇,backhand,backhand index pointing down,finger,down,hand,point,,,
☝,finger,hand,index pointing up,index,point,up,,,
👍,+1,hand,thumbs up,thumb,up,,,,
👎,-1,down,thumb,hand,thumbs down,,,,
✊,clenched,fist,punch,hand,raised fist,,,,
👊,clenched,fist,oncoming fist,hand,punch,,,,
🤛,fist,left-facing fist,bump,leftwards,,,,,
🤜,fist,right-facing fist,bump,rightwards,,,,,
👏,clap,clapping hands,hand,,,,,,
🙌,celebration,gesture,hooray,hand,raised,raising hands,,,
👐,hand,open,open hands,,,,,,
🤲,palms up together,prayer,,,,,,,
🤝,agreement,hand,meeting,handshake,shake,,,,
🙏,ask,folded hands,high 5,hand,high five,please,pray,thanks,
✍,hand,write,writing hand,,,,,,
💅,care,cosmetics,nail,manicure,polish,,,,
🤳,camera,phone,selfie,,,,,,
💪,biceps,comic,flexed biceps,flex,muscle,strong,,,
🦾,accessibility,mechanical arm,metal,prosthetic,strong,,,,
🦿,accessibility,mechanical leg,metal,prosthetic,,,,,
🦵,kick,leg,limb,,,,,,
🦶,foot,kick,stomp,,,,,,
👂,body,ear,,,,,,,
🦻,accessibility,ear with hearing aid,hard of hearing,,,,,,
👃,body,nose,,,,,,,
🧠,brain,intelligent,,,,,,,
🫀,anatomical,cardiology,organ,heart,pulse,,,,
🫁,breath,exhalation,lungs,inhalation,organ,respiration,,,
🦷,dentist,tooth,,,,,,,
🦴,bone,skeleton,,,,,,,
👀,eye,eyes,look,stare,,,,,
👁,body,eye,stare,,,,,,
👅,body,tongue,,,,,,,
👄,lips,mouth,,,,,,,
👶,baby,young,,,,,,,
🧒,child,gender-neutral,young,unspecified gender,,,,,
👦,boy,young,,,,,,,
👧,girl,Virgo,zodiac,young,,,,,
🧑,adult,gender-neutral,unspecified gender,person,,,,,
👱,blond,blond-haired person,person: blond hair,hair,,,,,
👨,adult,man,male,,,,,,
🧔,beard,person,person: beard,,,,,,
🧔‍♂,beard,man,male,man: beard,,,,,
👱‍♂,blond,blond-haired man,man,hair,man: blond hair,male,,,
👩,adult,woman,female,,,,,,
🧔‍♀,beard,woman,female,woman: beard,,,,,
👱‍♀,blond-haired woman,blonde,woman,hair,woman: blond hair,female,,,
🧓,adult,gender-neutral,older person,old,unspecified gender,,,,
👴,adult,man,male,old,,,,,
👵,adult,old,female,woman,,,,,
🙍,frown,gesture,male,person frowning,,,,,
🙍‍♂,frowning,gesture,male,man,,,,,
